cnvFiles,siteID,sampleDateTime,SITE_ID,stationDepth,Latitude,Longitude
2010_CTD/0758/123_5-3-10_0758/CTD Files/M25_123.cnv,m25,2010-05-03T00:00:00Z,NA,NA,NA,NA
2010_CTD/0758/123_5-3-10_0758/CTD Files/M45_123.cnv,m45,2010-05-03T00:00:00Z,beta,45,43.20616667,86.44966667
2010_CTD/0758/124_5-4-10_0758/CTD Files/M110_124.CNV,m110,2012-04-19T00:00:00Z,omega,110,43.19983333,86.56983333
2010_CTD/0758/124_5-4-10_0758/CTD Files/M45_124.CNV,m45,2010-05-04T00:00:00Z,beta,45,43.20616667,86.44966667
2010_CTD/0758/155_6-4-10_0758/CTD Files/M110_155.CNV,m110,2015-04-20T00:00:00Z,omega,110,43.19983333,86.56983333
2010_CTD/0758/155_6-4-10_0758/CTD Files/M15_155.CNV,m15,2010-06-04T00:00:00Z,alpha,17,43.18816667,86.344
2010_CTD/0758/155_6-4-10_0758/CTD Files/M45_155.CNV,m45,2010-06-04T00:00:00Z,beta,45,43.20616667,86.44966667
2010_CTD/0758/169_6-18-10_0758/CTD Files/169_6_18_10_0758_Alpha.cnv,alpha,2010-06-18T00:00:00Z,alpha,17,43.18816667,86.344
2010_CTD/0758/169_6-18-10_0758/CTD Files/169_6_18_10_0758_Beta.cnv,beta,2010-06-18T00:00:00Z,beta,45,43.20616667,86.44966667
2010_CTD/0758/169_6-18-10_0758/CTD Files/169_6_18_10_0758_Omega.cnv,omega,2010-06-18T00:00:00Z,omega,110,43.19983333,86.56983333
2010_CTD/0758/337_12-3-10_0758/CTD Files/laurentian_M110_337.cnv,m110,2033-04-20T00:00:00Z,omega,110,43.19983333,86.56983333
2010_CTD/0758/337_12-3-10_0758/CTD Files/laurentian_M15_337.cnv,m15,2010-12-03T00:00:00Z,alpha,17,43.18816667,86.344
2010_CTD/0758/337_12-3-10_0758/CTD Files/laurentian_M45_337.cnv,m45,2010-12-03T00:00:00Z,beta,45,43.20616667,86.44966667
2010_CTD/1635/154_6-3-10_1635/CTD Files/M110_154.cnv,m110,2015-04-20T00:00:00Z,omega,110,43.19983333,86.56983333
2010_CTD/1635/154_6-3-10_1635/CTD Files/M15_154.cnv,m15,2010-06-03T00:00:00Z,alpha,17,43.18816667,86.344
2010_CTD/1635/154_6-3-10_1635/CTD Files/M45_154.cnv,m45,2010-06-03T00:00:00Z,beta,45,43.20616667,86.44966667
2010_CTD/1635/169_6-18-10_1635/CTD Files/M110_169.cnv,m110,2016-04-19T00:00:00Z,omega,110,43.19983333,86.56983333
2010_CTD/1635/169_6-18-10_1635/CTD Files/M15_169.cnv,m15,2010-06-18T00:00:00Z,alpha,17,43.18816667,86.344
